編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
316,雲林縣,111年雲林縣交通控制軟硬體設備擴充計畫,111,"20,000,000","18,000,000","2,000,000","11,000,000","9,900,000","1,100,000",逢甲大學先進交通管理研究中心
317,雲林縣,111年雲林縣交通控制軟硬體設備擴充計畫,112,"20,000,000","18,000,000","2,000,000","9,000,000","8,100,000","900,000",逢甲大學先進交通管理研究中心
318,彰化縣,彰化縣動態停車資訊導引系統建置,111,"9,000,000","8,000,000","1,000,000","2,700,000","2,400,000","300,000",剛鈺股份有限公司
319,彰化縣,彰化縣動態停車資訊導引系統建置,112,"9,000,000","8,000,000","1,000,000","4,500,000","4,000,000","500,000",剛鈺股份有限公司
320,彰化縣,彰化縣動態停車資訊導引系統建置,112,"9,000,000","8,000,000","1,000,000","1,800,000","1,600,000","200,000",剛鈺股份有限公司
321,臺中市,111年度臺中市交通行動服務(MaaS)平台建置計畫,111,"28,466,626","28,466,626",0,"8,539,988","8,539,988",0,康和資訊系統股份有限公司
322,臺中市,111年度臺中市交通行動服務(MaaS)平台建置計畫,112,"28,466,626","28,466,626",0,"19,926,638","19,926,638",0,康和資訊系統股份有限公司
323,嘉義縣,111年度嘉義縣智慧交通控制系統 提升計畫,111,"8,780,000","8,000,000","780,000","2,634,000","2,400,000","234,000",大揚有限電視股份有限公司
324,嘉義縣,111年度嘉義縣智慧交通控制系統 提升計畫,112,"8,780,000","8,000,000","780,000","6,146,000","5,600,000","546,000",大揚有限電視股份有限公司
325,嘉義市,111-112年嘉義市整體路網壅塞改善計畫,111,"21,190,000","17,100,000","4,090,000","6,357,000","5,130,000","1,227,000",台灣世曦工程顧問股份有限公司
326,嘉義市,111-112年嘉義市整體路網壅塞改善計畫,112,"21,190,000","17,100,000","4,090,000","14,833,000","11,970,000","2,863,000",台灣世曦工程顧問股份有限公司
